sr_no,prayer_date,suhoor_end,fajr_begin,sunrise_begin,zawaal_begin,zuhr_begin,asr_begin,sunset_begin,maghrib_begin,isha_begin,fajr_jamaat,zuhr_jamaat,asr_jamaat,maghrib_jamaat,isha_jamaat,jumu-ah_jamaat,eid_jamaat
50,19-Feb,5:39 AM,5:44 AM,7:19 AM,12:23 PM,12:29 PM,3:46 PM,5:35 PM,5:38 PM,7:02 PM,6:45 AM,1:00 PM,4:15 PM,5:38 PM,7:15 PM,1:00 PM,9:00 AM
51,20-Feb,5:37 AM,5:42 AM,7:17 AM,12:23 PM,12:29 PM,3:47 PM,5:37 PM,5:40 PM,7:04 PM,6:45 AM,1:00 PM,4:15 PM,5:40 PM,7:15 PM,1:00 PM,9:00 AM
52,21-Feb,5:35 AM,5:40 AM,7:15 AM,12:23 PM,12:29 PM,3:49 PM,5:39 PM,5:42 PM,7:05 PM,6:45 AM,1:00 PM,4:15 PM,5:42 PM,7:15 PM,1:00 PM,9:00 AM
53,22-Feb,5:33 AM,5:38 AM,7:13 AM,12:23 PM,12:29 PM,3:51 PM,5:40 PM,5:43 PM,7:07 PM,6:30 AM,1:00 PM,4:30 PM,5:43 PM,7:30 PM,1:00 PM,9:00 AM
54,23-Feb,5:31 AM,5:36 AM,7:11 AM,12:23 PM,12:29 PM,3:52 PM,5:42 PM,5:45 PM,7:08 PM,6:30 AM,1:00 PM,4:30 PM,5:45 PM,7:30 PM,1:00 PM,9:00 AM
55,24-Feb,5:29 AM,5:34 AM,7:09 AM,12:23 PM,12:29 PM,3:54 PM,5:44 PM,5:47 PM,7:10 PM,6:30 AM,1:00 PM,4:30 PM,5:47 PM,7:30 PM,1:00 PM,9:00 AM
56,25-Feb,5:27 AM,5:32 AM,7:07 AM,12:23 PM,12:29 PM,3:56 PM,5:46 PM,5:49 PM,7:12 PM,6:30 AM,1:00 PM,4:30 PM,5:49 PM,7:30 PM,1:00 PM,9:00 AM
57,26-Feb,5:25 AM,5:30 AM,7:05 AM,12:22 PM,12:28 PM,3:57 PM,5:48 PM,5:51 PM,7:13 PM,6:30 AM,1:00 PM,4:30 PM,5:51 PM,7:30 PM,1:00 PM,9:00 AM
58,27-Feb,5:23 AM,5:28 AM,7:02 AM,12:22 PM,12:28 PM,3:59 PM,5:50 PM,5:53 PM,7:15 PM,6:30 AM,1:00 PM,4:30 PM,5:53 PM,7:30 PM,1:00 PM,9:00 AM
59,28-Feb,5:21 AM,5:26 AM,7:00 AM,12:22 PM,12:28 PM,4:00 PM,5:51 PM,5:54 PM,7:16 PM,6:30 AM,1:00 PM,4:30 PM,5:54 PM,7:30 PM,1:00 PM,9:00 AM
60,01-Mar,5:19 AM,5:24 AM,6:58 AM,12:22 PM,12:28 PM,4:01 PM,5:53 PM,5:56 PM,7:18 PM,6:15 AM,1:00 PM,4:45 PM,5:56 PM,7:45 PM,1:00 PM,9:00 AM
61,02-Mar,5:17 AM,5:22 AM,6:56 AM,12:22 PM,12:28 PM,4:03 PM,5:55 PM,5:58 PM,7:19 PM,6:15 AM,1:00 PM,4:45 PM,5:58 PM,7:45 PM,1:00 PM,9:00 AM
62,03-Mar,5:15 AM,5:20 AM,6:54 AM,12:21 PM,12:27 PM,4:05 PM,5:57 PM,6:00 PM,7:21 PM,6:15 AM,1:00 PM,4:45 PM,6:00 PM,7:45 PM,1:00 PM,9:00 AM
63,04-Mar,5:13 AM,5:18 AM,6:52 AM,12:21 PM,12:27 PM,4:06 PM,5:58 PM,6:01 PM,7:22 PM,6:15 AM,1:00 PM,5:00 PM,6:01 PM,7:45 PM,1:00 PM,9:00 AM
64,05-Mar,5:11 AM,5:16 AM,6:49 AM,12:21 PM,12:27 PM,4:08 PM,6:00 PM,6:03 PM,7:24 PM,6:15 AM,1:00 PM,5:00 PM,6:03 PM,7:45 PM,1:00 PM,9:00 AM
65,06-Mar,5:08 AM,5:13 AM,6:47 AM,12:21 PM,12:27 PM,4:09 PM,6:02 PM,6:05 PM,7:25 PM,6:15 AM,1:00 PM,5:00 PM,6:05 PM,7:45 PM,1:00 PM,9:00 AM
66,07-Mar,5:06 AM,5:11 AM,6:45 AM,12:21 PM,12:27 PM,4:11 PM,6:04 PM,6:07 PM,7:27 PM,6:15 AM,1:00 PM,5:00 PM,6:07 PM,7:45 PM,1:00 PM,9:00 AM
67,08-Mar,5:04 AM,5:09 AM,6:43 AM,12:20 PM,12:26 PM,4:12 PM,6:05 PM,6:08 PM,7:28 PM,6:00 AM,1:00 PM,5:00 PM,6:08 PM,8:00 PM,1:00 PM,9:00 AM
68,09-Mar,5:02 AM,5:07 AM,6:41 AM,12:20 PM,12:26 PM,4:14 PM,6:07 PM,6:10 PM,7:30 PM,6:00 AM,1:00 PM,5:00 PM,6:10 PM,8:00 PM,1:00 PM,9:00 AM
69,10-Mar,5:00 AM,5:05 AM,6:38 AM,12:20 PM,12:26 PM,4:15 PM,6:09 PM,6:12 PM,7:31 PM,6:00 AM,1:00 PM,5:00 PM,6:12 PM,8:00 PM,1:00 PM,9:00 AM
70,11-Mar,4:58 AM,5:03 AM,6:36 AM,12:20 PM,12:26 PM,4:17 PM,6:11 PM,6:14 PM,7:33 PM,6:00 AM,1:00 PM,5:00 PM,6:14 PM,8:00 PM,1:00 PM,9:00 AM
71,12-Mar,4:56 AM,5:01 AM,6:34 AM,12:19 PM,12:25 PM,4:18 PM,6:12 PM,6:15 PM,7:34 PM,6:00 AM,1:00 PM,5:00 PM,6:15 PM,8:00 PM,1:00 PM,9:00 AM
72,13-Mar,4:53 AM,4:58 AM,6:32 AM,12:19 PM,12:25 PM,4:19 PM,6:14 PM,6:17 PM,7:36 PM,6:00 AM,1:00 PM,5:00 PM,6:17 PM,8:00 PM,1:00 PM,9:00 AM
73,14-Mar,4:51 AM,4:56 AM,6:29 AM,12:19 PM,12:25 PM,4:21 PM,6:16 PM,6:19 PM,7:37 PM,6:00 AM,1:00 PM,5:00 PM,6:19 PM,8:00 PM,1:00 PM,9:00 AM
74,15-Mar,4:49 AM,4:54 AM,6:27 AM,12:18 PM,12:24 PM,4:22 PM,6:17 PM,6:20 PM,7:39 PM,5:45 AM,1:00 PM,5:00 PM,6:20 PM,8:00 PM,1:00 PM,9:00 AM
75,16-Mar,4:47 AM,4:52 AM,6:25 AM,12:18 PM,12:24 PM,4:22 PM,6:19 PM,6:22 PM,7:40 PM,5:45 AM,1:00 PM,5:00 PM,6:22 PM,8:00 PM,1:00 PM,9:00 AM
